Utility Level Data - States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility Characteristics,,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
2019,1,AR,13718,City of North Little Rock - (AR),Preliminary,AC,0.050,1.200,.,.,1.250,3,5,.,.,8,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.050,1.200,NM,0.000,1.250,3,5,0,0,8,0.000,0.000,0.000,0.000,0.000
2019,1,AR,14063,Oklahoma Gas & Electric Co,Preliminary,AC,0.272,0.037,0.000,0.000,0.309,38,4,0,0,42,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.004,0.001,0.000,0.000,0.005,1,1,0,0,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.276,0.038,NM,0.000,0.314,39,5,0,0,44,0.000,0.000,0.000,0.000,0.000
2019,1,AR,17698,Southwestern Electric Power Co,Preliminary,AC,0.573,0.580,0.700,0.000,1.853,101,20,1,0,122,0.427,0.000,0.000,0.000,0.427,4,0,0,0,4,0.036,0.223,0.000,0.000,0.259,3,4,0,0,7,17.855,20.154,0.000,0.000,38.009,0.000,0.005,0.000,0.000,0.005,0,2,0,0,2,0.000,0.004,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.609,0.808,0.700,0.000,2.117,104,26,1,0,131,17.855,20.158,0.000,0.000,38.013
2019,1,AR,99999,Adjustment 2019,Preliminary,,3.141,2.033,-0.285,.,4.889,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.141,2.033,-0.285,.,4.889,.,.,.,.,.,.,.,.,.,.
2019,1,AZ,176,Ajo Improvement Co,Preliminary,AC,.,0.033,.,.,0.033,.,3,.,.,3,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,0.155,.,.,0.155,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,NM,0.033,NM,0.000,0.033,0,3,0,0,3,0.000,0.155,0.000,0.000,0.155
2019,1,AZ,803,Arizona Public Service Co,Preliminary,DC,706.732,271.511,.,.,978.243,"89,635","1,462",.,.,"91,097",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.061,0.126,.,.,0.187,25,11,.,.,36,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,706.793,271.637,NM,0.000,978.430,"89,660","1,473",0,0,"91,133",0.000,0.000,0.000,0.000,0.000
2019,1,AZ,12919,Morenci Water and Electric,Preliminary,AC,.,0.033,.,.,0.033,.,3,.,.,3,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,0.888,.,.,0.888,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,NM,0.033,NM,0.000,0.033,0,3,0,0,3,0.000,0.888,0.000,0.000,0.888
2019,1,AZ,16572,Salt River Project,Preliminary,AC,123.847,60.390,6.630,0.000,190.867,"19,224",554,3,0,"19,781",.,.,.,0.000,0.000,.,.,.,0,0,5.611,6.141,0.000,0.000,11.752,"2,074",85,0,0,"2,159",798.360,"1,363.100",0.000,0.000,"2,161.460",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,129.458,66.531,6.630,0.000,202.619,"21,298",639,3,0,"21,940",798.360,"1,363.100",0.000,0.000,"2,161.460"
2019,1,AZ,19189,Trico Electric Cooperative Inc,Preliminary,DC,14.530,8.800,.,.,23.330,"2,065",41,.,.,"2,106",.,.,.,.,0.000,.,.,.,.,0,0.044,0.183,.,.,0.227,48,1,.,.,49,822.852,255.509,.,.,"1,078.361",0.002,.,.,.,0.002,1,.,.,.,1,0.048,.,.,.,0.048,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,14.576,8.983,NM,0.000,23.559,"2,114",42,0,0,"2,156",822.900,255.509,0.000,0.000,"1,078.409"
2019,1,AZ,19728,"UNS Electric, Inc",Preliminary,AC,24.712,9.128,.,.,33.840,"3,291",170,.,.,"3,461",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,"1,764.357",395.667,.,.,"2,160.024",0.375,0.013,.,.,0.388,117,3,.,.,120,2.296,0.040,.,.,2.336,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,25.087,9.141,NM,0.000,34.228,"3,408",173,0,0,"3,581","1,766.653",395.707,0.000,0.000,"2,162.360"
2019,1,AZ,21538,"Mohave Electric Cooperative, I",Preliminary,AC,6.062,1.884,.,.,7.946,681,76,.,.,757,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,209.323,33.230,.,.,242.553,0.055,.,.,.,0.055,25,.,.,.,25,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,6.117,1.884,NM,0.000,8.001,706,76,0,0,782,209.323,33.230,0.000,0.000,242.553
2019,1,AZ,24211,Tucson Electric Power Co,Preliminary,AC,127.150,99.830,.,.,226.980,"22,189",638,.,.,"22,827",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,"9,369.781","4,463.772",.,.,"13,833.553",.,0.015,.,.,0.015,.,1,.,.,1,.,0.000,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,127.150,99.845,NM,0.000,226.995,"22,189",639,0,0,"22,828","9,369.781","4,463.772",0.000,0.000,"13,833.553"
2019,1,AZ,99999,Adjustment 2019,Preliminary,,-109.917,-43.410,.,.,-153.327,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.008,-0.032,.,.,-0.040,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-109.925,-43.442,.,.,-153.367,.,.,.,.,.,.,.,.,.,.
2019,1,CA,4390,City of Corona - (CA),Preliminary,AC,0.049,0.337,.,.,0.386,6,1,.,.,7,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.049,0.337,NM,0.000,0.386,6,1,0,0,7,0.000,0.000,0.000,0.000,0.000
2019,1,CA,9216,Imperial Irrigation District,Preliminary,AC,29.891,35.325,.,.,65.216,"5,069",202,.,.,"5,271",.,.,.,.,0.000,.,.,.,.,0,1.175,0.162,.,.,1.337,424,43,.,.,467,.,.,.,.,0.000,0.002,.,.,.,0.002,1,.,.,.,1,.,.,.,.,0.000,.,2.130,.,.,2.130,.,5,.,.,5,.,.,.,.,0.000,31.068,37.617,NM,0.000,68.685,"5,494",250,0,0,"5,744",0.000,0.000,0.000,0.000,0.000
2019,1,CA,11208,Los Angeles Department of Water & Power,Preliminary,AC,190.088,100.620,.,.,290.708,"37,079","1,365",.,.,"38,444",1.793,0.435,.,.,2.228,276,5,.,.,281,.,.,.,.,0.000,.,.,.,.,0,"6,998.766",488.685,.,.,"7,487.451",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,190.088,100.620,NM,0.000,290.708,"37,079","1,365",0,0,"38,444","6,998.766",488.685,0.000,0.000,"7,487.451"
2019,1,CA,12745,Modesto Irrigation District,Preliminary,AC,28.813,9.596,8.071,0.000,46.480,"5,131",124,45,0,"5,300",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,28.813,9.596,8.071,0.000,46.480,"5,131",124,45,0,"5,300",0.000,0.000,0.000,0.000,0.000
2019,1,CA,14328,Pacific Gas & Electric Co.,Preliminary,AC,"2,133.669",849.010,697.857,0.000,"3,680.536","389,504","9,836","3,325",0,"402,665",23.101,11.190,23.558,0.000,57.849,"3,681",47,54,0,"3,782",12.556,12.523,0.138,0.000,25.217,"4,950","1,190",4,0,"6,144",0.000,0.000,0.000,0.000,0.000,1.011,0.628,15.335,0.000,16.974,184,37,38,0,259,0.000,0.000,0.000,0.000,0.000,0.110,9.851,140.289,0.000,150.250,16,33,229,0,278,0.000,0.000,0.000,0.000,0.000,"2,147.346",872.012,853.619,0.000,"3,872.977","394,654","11,096","3,596",0,"409,346",0.000,0.000,0.000,0.000,0.000
2019,1,CA,14354,PacifiCorp,Preliminary,DC,3.066,2.469,1.973,0.000,7.508,392,45,17,0,454,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.001,0.005,0.000,0.000,0.006,1,2,0,0,3,.,.,.,.,0.000,0.011,0.000,0.000,0.000,0.011,2,0,0,0,2,.,.,.,.,0.000,3.078,2.474,1.973,0.000,7.525,395,47,17,0,459,0.000,0.000,0.000,0.000,0.000
2019,1,CA,14534,City of Pasadena - (CA),Preliminary,AC,5.789,4.082,.,.,9.871,"1,320",61,.,.,"1,381",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,196.000,79.000,.,.,79.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,5.789,4.082,NM,0.000,9.871,"1,320",61,0,0,"1,381",196.000,79.000,0.000,0.000,275.000
2019,1,CA,16534,Sacramento Municipal Util Dist,Preliminary,AC,107.944,50.555,31.178,0.000,189.677,"24,593",446,47,0,"25,086",0.756,0.036,0.500,0.000,1.292,140,1,1,0,142,0.671,0.348,0.000,0.000,1.019,560,43,0,0,603,.,.,.,.,0.000,0.002,0.000,0.005,0.000,0.007,1,0,1,0,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,108.617,50.903,31.183,0.000,190.703,"25,154",489,48,0,"25,691",0.000,0.000,0.000,0.000,0.000
2019,1,CA,16609,San Diego Gas & Electric Co,Preliminary,AC,781.240,167.390,70.960,0.000,"1,019.590","146,488","3,623",95,0,"150,206",14.710,5.800,0.000,0.000,20.510,"2,690",62,0,0,"2,752",10.110,2.190,1.190,0.000,13.490,317,34,2,0,353,1.640,1.180,0.310,0.000,3.130,0.120,0.020,1.000,0.000,1.140,37,4,1,0,42,0.000,0.000,0.000,0.000,0.000,0.030,12.730,12.000,0.000,24.760,3,50,17,0,70,0.000,0.000,0.000,0.000,0.000,791.500,182.330,85.150,0.000,"1,058.980","146,845","3,711",115,0,"150,671",1.640,1.180,0.310,0.000,3.130
2019,1,CA,16655,City of Santa Clara - (CA),Preliminary,AC,1.043,0.793,.,.,1.836,257,9,.,.,266,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.043,0.793,NM,0.000,1.836,257,9,0,0,266,0.000,0.000,0.000,0.000,0.000
2019,1,CA,17609,Southern California Edison Co,Preliminary,AC,"1,575.648",615.822,225.719,.,"2,417.189","291,236","5,554",480,.,"297,270",17.597,23.245,1.890,.,42.732,"2,993",174,6,.,"3,173",7.028,13.600,.,.,20.628,79,640,.,.,719,.,.,.,.,0.000,2.102,4.965,3.150,.,10.217,246,16,6,.,268,.,.,.,.,0.000,0.806,41.523,34.166,.,76.495,82,121,48,.,251,.,.,.,.,0.000,"1,585.584",675.910,263.035,0.000,"2,524.529","291,643","6,331",534,0,"298,508",0.000,0.000,0.000,0.000,0.000
2019,1,CA,17612,Bear Valley Electric Service,Preliminary,AC,1.829,1.485,0.000,0.000,3.314,416,23,0,0,439,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.069,0.010,0.000,0.000,0.079,6,1,0,0,7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1.898,1.495,NM,0.000,3.393,422,24,0,0,446,0.000,0.000,0.000,0.000,0.000
2019,1,CA,18260,Surprise Valley Electrification,Preliminary,AC,0.015,0.015,0.000,0.000,0.030,1,1,0,0,2,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.015,0.015,NM,0.000,0.030,1,1,0,0,2,0.000,0.000,0.000,0.000,0.000
2019,1,CA,19281,Turlock Irrigation District,Preliminary,AC,11.165,9.108,14.125,.,34.398,"1,738",61,94,.,"1,893",.,.,.,.,0.000,.,.,.,.,0,0.063,.,3.448,.,3.511,3,.,8,.,11,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,11.228,9.108,17.573,0.000,37.909,"1,741",61,102,0,"1,904",0.000,0.000,0.000,0.000,0.000
2019,1,CA,99999,Adjustment 2019,Preliminary,,92.120,79.609,2.324,0.000,174.054,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,92.120,79.609,2.324,0.000,174.054,.,.,.,.,.,.,.,.,.,.
2019,1,CO,3989,City of Colorado Springs - (CO),Preliminary,AC,5.079,4.973,.,.,10.052,"1,115",82,.,.,"1,197",.,.,.,.,0.000,.,.,.,.,0,0.731,3.149,.,.,3.880,420,64,.,.,484,.,.,.,.,0.000,0.002,0.006,.,.,0.008,1,1,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,5.812,8.128,NM,0.000,13.940,"1,536",147,0,0,"1,683",0.000,0.000,0.000,0.000,0.000
2019,1,CO,6604,City of Fort Collins - (CO),Preliminary,DC,7.066,1.178,0.202,0.000,8.446,"1,267",57,4,0,"1,328",0.088,0.000,0.000,0.000,0.088,13,0,0,0,13,0.620,0.000,0.000,0.000,0.620,200,0,0,0,200,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.464,0.000,1.464,0,0,3,0,3,0.000,0.000,0.000,0.000,0.000,7.687,1.178,1.666,0.000,10.531,"1,468",57,7,0,"1,532",0.000,0.000,0.000,0.000,0.000
2019,1,CO,9336,Intermountain Rural Elec Assn,Preliminary,AC,13.055,0.056,0.000,0.000,13.111,"2,163",4,0,0,"2,167",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.046,0.000,0.000,0.000,0.046,17,0,0,0,17,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,13.101,0.056,NM,0.000,13.157,"2,180",4,0,0,"2,184",0.000,0.000,0.000,0.000,0.000
2019,1,CO,12866,Moon Lake Electric Assn Inc,Preliminary,AC,0.006,0.100,0.000,0.000,0.106,1,5,0,0,6,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.193,0.000,0.000,0.193,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.006,0.100,NM,0.000,0.106,1,5,0,0,6,0.000,0.193,0.000,0.000,0.193
2019,1,CO,15257,"Poudre Valley REA, Inc",Preliminary,DC,3.845,0.297,0.056,.,4.198,519,22,3,.,544,.,.,.,.,0.000,.,.,.,.,0,0.744,.,.,.,0.744,162,.,.,.,162,74.855,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,4.589,0.297,0.056,0.000,4.942,681,22,3,0,706,74.855,0.000,0.000,0.000,74.855
2019,1,CO,15466,Public Service Co of Colorado,Preliminary,DC,175.990,122.242,0.639,0.000,298.871,"31,475","2,308",13,0,"33,796",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,175.990,122.242,0.639,0.000,298.871,"31,475","2,308",13,0,"33,796",0.000,0.000,0.000,0.000,0.000
2019,1,CO,16603,"San Luis Valley R E C, Inc",Preliminary,AC,0.458,0.104,0.124,.,0.686,95,11,6,.,112,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.003,.,.,.,0.003,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.461,0.104,0.124,0.000,0.689,97,11,6,0,114,0.000,0.000,0.000,0.000,0.000
2019,1,CO,19499,"United Power, Inc",Preliminary,AC,19.637,0.389,0.021,.,20.047,"3,268",13,1,.,"3,282",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.022,0.012,0.000,.,0.034,8,2,0,.,10,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,19.659,0.401,0.021,0.000,20.081,"3,276",15,1,0,"3,292",0.000,0.000,0.000,0.000,0.000
2019,1,CO,27058,"High West Energy, Inc",Preliminary,AC,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.006,.,.,.,0.006,3,.,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.006,NM,NM,0.000,0.006,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000
