Utility Level Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility Characteristics,,,,,,Photovoltaic,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
2015,1,AR,817,Arkansas Valley Elec Coop Corp,Final,0.101,0.017,.,.,0.118,21,1,.,.,22,.,.,.,.,0.000,0.006,.,.,.,0.006,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.107,0.017,0.000,0.000,0.124,22,1,0,0,23,0.000,0.000,0.000,0.000,0.000
2015,1,AR,3093,Carroll Electric Coop Corp - (AR),Final,0.340,.,.,.,0.340,70,.,.,.,70,.,.,.,.,0.000,0.015,.,.,.,0.015,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.355,0.000,0.000,0.000,0.355,72,0,0,0,72,0.000,0.000,0.000,0.000,0.000
2015,1,AR,5860,Empire District Electric Co,Final,0.012,.,.,.,0.012,1,.,.,.,1,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.012,0.000,0.000,0.000,0.012,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000
2015,1,AR,6342,First Electric Coop Corp,Final,0.165,.,.,.,0.165,33,.,.,.,33,.,.,.,.,0.000,0.010,.,.,.,0.010,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.175,0.000,0.000,0.000,0.175,34,0,0,0,34,0.000,0.000,0.000,0.000,0.000
2015,1,AR,13718,City of North Little Rock - (AR),Final,0.050,1.200,.,.,1.250,3,5,.,.,8,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.050,1.200,0.000,0.000,1.250,3,5,0,0,8,0.000,0.000,0.000,0.000,0.000
2015,1,AR,14063,Oklahoma Gas & Electric Co,Final,0.057,0.001,0.000,0.000,0.058,10,3,0,0,13,0.000,0.000,0.000,0.000,0.000,0.004,0.030,0.000,0.000,0.034,1,1,0,0,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.061,0.031,0.000,0.000,0.092,11,4,0,0,15,0.000,0.000,0.000,0.000,0.000
2015,1,AR,17698,Southwestern Electric Power Co,Final,0.055,0.412,0.000,0.000,0.467,16,12,0,0,28,0.954,2.621,0.000,0.000,3.575,0.000,0.005,0.000,0.000,0.005,0,2,0,0,2,0.000,0.035,0.000,0.000,0.035,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.055,0.417,0.000,0.000,0.472,16,14,0,0,30,0.954,2.656,0.000,0.000,3.610
2015,1,AR,99999,State Adjustment,Final,0.572,0.032,.,.,0.604,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.572,0.032,.,.,0.604,.,.,.,.,.,.,.,.,.,.
2015,1,AZ,176,Ajo Improvement Co,Final,.,0.033,.,.,0.033,.,3,.,.,3,.,0.839,.,.,0.839,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.033,0.000,0.000,0.033,0,3,0,0,3,0.000,0.839,0.000,0.000,0.839
2015,1,AZ,803,Arizona Public Service Co,Final,178.300,197.990,0.000,0.000,376.290,"30,388","1,102",0,0,"31,490",.,.,.,.,0.000,0.050,0.110,0.000,0.000,0.160,25,11,0,0,36,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,178.350,198.100,0.000,0.000,376.450,"30,413","1,113",0,0,"31,526",0.000,0.000,0.000,0.000,0.000
2015,1,AZ,12919,Morenci Water and Electric,Final,.,0.033,.,.,0.033,.,3,.,.,3,.,1.361,.,.,1.361,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.033,0.000,0.000,0.033,0,3,0,0,3,0.000,1.361,0.000,0.000,1.361
2015,1,AZ,16572,Salt River Project,Final,76.496,16.153,2.609,0.000,95.258,"12,162",301,51,0,"12,514",.,"1,032.000",144.200,0.000,"1,176.200",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,76.496,16.153,2.609,0.000,95.258,"12,162",301,51,0,"12,514",0.000,"1,032.000",144.200,0.000,"1,176.200"
2015,1,AZ,19189,Trico Electric Cooperative Inc,Final,5.583,5.600,.,.,11.183,862,17,.,.,879,365.799,55.022,.,.,420.821,0.002,.,.,.,0.002,1,.,.,.,1,0.191,.,.,.,0.191,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,5.585,5.600,0.000,0.000,11.185,863,17,0,0,880,365.990,55.022,0.000,0.000,421.012
2015,1,AZ,19728,"UNS Electric, Inc",Final,10.074,3.341,0.467,.,13.882,"1,255",82,10,.,"1,347",636.573,96.592,7.801,.,740.966,0.282,0.006,.,.,0.288,94,3,.,.,97,13.735,0.103,.,.,13.838,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,10.356,3.347,0.467,0.000,14.170,"1,349",85,10,0,"1,444",650.308,96.695,7.801,0.000,754.804
2015,1,AZ,21538,"Mohave Electric Cooperative, I",Final,2.396,1.472,.,.,3.868,357,62,.,.,419,122.968,23.975,.,.,146.943,0.055,.,.,.,0.055,25,.,.,.,25,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.451,1.472,0.000,0.000,3.923,382,62,0,0,444,122.968,23.975,0.000,0.000,146.943
2015,1,AZ,24211,Tucson Electric Power Co,Final,44.040,1.494,55.584,.,101.118,"6,524",60,245,.,"6,829","3,047.176",60.974,"3,111.784",.,"6,219.934",.,.,0.024,.,0.024,.,.,1,.,1,.,.,0.000,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,44.040,1.494,55.608,0.000,101.142,"6,524",60,246,0,"6,830","3,047.176",60.974,"3,111.784",0.000,"6,219.934"
2015,1,AZ,99999,State Adjustment,Final,9.586,4.082,.,.,13.668,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9.586,4.082,.,.,13.668,.,.,.,.,.,.,.,.,.,.
2015,1,CA,9216,Imperial Irrigation District,Final,6.566,17.296,.,.,23.862,"1,290",128,.,.,"1,418",.,.,.,.,0.000,0.002,.,.,.,0.002,1,.,.,.,1,.,.,.,.,0.000,.,2.130,.,.,2.130,.,5,.,.,5,.,.,.,.,0.000,6.568,19.426,0.000,0.000,25.994,"1,291",133,0,0,"1,424",0.000,0.000,0.000,0.000,0.000
2015,1,CA,11208,Los Angeles Department of Water & Power,Final,69.131,55.569,.,.,124.700,"14,294",640,.,.,"14,934",51.433,32.761,.,.,84.194,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,69.131,55.569,0.000,0.000,124.700,"14,294",640,0,0,"14,934",51.433,32.761,0.000,0.000,84.194
2015,1,CA,12745,Modesto Irrigation District,Final,8.041,6.235,6.665,.,20.941,"1,497",66,22,.,"1,585",.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,8.041,6.235,6.665,0.000,20.941,"1,497",66,22,0,"1,585",0.000,0.000,0.000,0.000,0.000
2015,1,CA,14328,Pacific Gas & Electric Co,Final,726.289,304.518,282.340,0.000,"1,313.147","149,440","4,915","1,329",0,"155,684",0.000,0.000,0.000,0.000,0.000,0.958,0.605,4.813,0.000,6.376,147,31,36,0,214,0.000,0.000,0.000,0.000,0.000,0.521,4.646,45.344,0.000,50.511,87,32,109,0,228,0.000,0.000,0.000,0.000,0.000,727.768,309.769,332.497,0.000,"1,370.034","149,674","4,978","1,474",0,"156,126",0.000,0.000,0.000,0.000,0.000
2015,1,CA,14354,PacifiCorp,Final,1.092,1.260,0.587,0.000,2.939,148,22,7,0,177,.,.,.,.,0.000,0.001,0.005,0.000,0.000,0.006,1,2,0,0,3,.,.,.,.,0.000,0.011,0.000,0.000,0.000,0.011,2,0,0,0,2,.,.,.,.,0.000,1.104,1.265,0.587,0.000,2.956,151,24,7,0,182,0.000,0.000,0.000,0.000,0.000
2015,1,CA,14534,City of Pasadena - (CA),Final,2.355,3.423,.,.,5.778,611,40,.,.,651,88.000,18.000,.,.,106.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.355,3.423,0.000,0.000,5.778,611,40,0,0,651,88.000,18.000,0.000,0.000,106.000
2015,1,CA,16534,Sacramento Municipal Util Dist,Final,29.690,22.091,14.218,.,65.999,"8,155",259,38,.,"8,452",.,.,.,.,0.000,0.002,.,0.005,.,0.007,1,.,1,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,29.692,22.091,14.223,0.000,66.006,"8,156",259,39,0,"8,454",0.000,0.000,0.000,0.000,0.000
2015,1,CA,16609,San Diego Gas & Electric Co,Final,234.287,52.712,26.943,0.000,313.942,"47,991",982,36,0,"49,009",249.370,703.600,46.030,0.000,999.000,0.122,0.017,1.000,0.000,1.139,37,4,1,0,42,0.000,0.000,0.000,0.000,0.000,0.000,2.130,0.000,0.000,2.130,0,2,0,0,2,0.000,0.000,0.000,0.000,0.000,234.409,54.859,27.943,0.000,317.211,"48,028",988,37,0,"49,053",249.370,703.600,46.030,0.000,999.000
2015,1,CA,17609,Southern California Edison Co,Final,522.669,187.713,161.995,0.000,872.377,"104,383","3,154",466,0,"108,003",.,.,.,.,0.000,2.466,1.554,3.185,0.000,7.205,290,16,8,0,314,.,.,.,.,0.000,0.766,3.757,29.495,0.000,34.018,85,14,45,0,144,.,.,.,.,0.000,525.901,193.024,194.675,0.000,913.600,"104,758","3,184",519,0,"108,461",0.000,0.000,0.000,0.000,0.000
2015,1,CA,17612,Bear Valley Electric Service,Final,0.664,.,.,.,0.664,113,.,.,.,113,.,.,.,.,0.000,0.058,.,.,.,0.058,7,.,.,.,7,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.722,0.000,0.000,0.000,0.722,120,0,0,0,120,0.000,0.000,0.000,0.000,0.000
2015,1,CA,19281,Turlock Irrigation District,Final,5.837,0.410,15.619,.,21.866,915,27,89,.,"1,031",.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,5.837,0.410,15.619,0.000,21.866,915,27,89,0,"1,031",0.000,0.000,0.000,0.000,0.000
2015,1,CA,99999,State Adjustment,Final,33.750,26.796,2.377,.,62.923,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33.750,26.796,2.377,.,62.923,.,.,.,.,.,.,.,.,.,.
2015,1,CO,3989,City of Colorado Springs - (CO),Final,1.447,4.414,0.000,0.000,5.861,319,63,0,0,382,.,.,.,.,0.000,0.002,0.006,0.000,0.000,0.008,1,1,0,0,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.449,4.420,0.000,0.000,5.869,320,64,0,0,384,0.000,0.000,0.000,0.000,0.000
2015,1,CO,6604,City of Fort Collins - (CO),Final,1.471,0.890,0.180,0.000,2.541,297,48,1,0,346,0.000,13.781,0.000,0.000,13.781,0.002,0.000,0.000,0.000,0.002,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.200,0.000,1.200,0,0,2,0,2,0.000,0.000,0.000,0.000,0.000,1.473,0.890,1.380,0.000,3.743,298,48,3,0,349,0.000,13.781,0.000,0.000,13.781
2015,1,CO,9336,Intermountain Rural Elec Assn,Final,2.152,0.056,.,.,2.208,389,4,.,.,393,.,.,.,.,0.000,0.046,.,.,.,0.046,17,.,.,.,17,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.198,0.056,0.000,0.000,2.254,406,4,0,0,410,0.000,0.000,0.000,0.000,0.000
2015,1,CO,12866,Moon Lake Electric Assn Inc,Final,0.000,0.100,0.000,0.000,0.100,0,5,0,0,5,0.000,0.255,0.000,0.000,0.255,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.100,0.000,0.000,0.100,0,5,0,0,5,0.000,0.255,0.000,0.000,0.255
2015,1,CO,15257,"Poudre Valley R  E  A, Inc",Final,0.883,0.105,0.020,0.000,1.008,144,9,1,0,154,.,.,0.000,0.000,0.000,0.040,.,.,.,0.040,11,.,.,.,11,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.923,0.105,0.020,0.000,1.048,155,9,1,0,165,0.000,0.000,0.000,0.000,0.000
2015,1,CO,15466,Public Service Co of Colorado,Final,115.994,106.760,0.605,.,223.359,"21,044","2,064",10,.,"23,118",.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,115.994,106.760,0.605,0.000,223.359,"21,044","2,064",10,0,"23,118",0.000,0.000,0.000,0.000,0.000
2015,1,CO,16603,"San Luis Valley R E C, Inc",Final,0.186,0.082,0.030,.,0.298,49,9,2,.,60,.,.,.,.,0.000,0.003,.,.,.,0.003,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.189,0.082,0.030,0.000,0.301,51,9,2,0,62,0.000,0.000,0.000,0.000,0.000
2015,1,CO,19499,"United Power, Inc",Final,2.010,0.189,0.021,0.000,2.220,346,9,1,0,356,.,.,.,.,0.000,0.022,0.012,0.000,0.000,0.034,8,2,0,0,10,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.032,0.201,0.021,0.000,2.254,354,11,1,0,366,0.000,0.000,0.000,0.000,0.000
2015,1,CO,27058,"High West Energy, Inc",Final,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.002,.,.,.,0.002,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.002,0.000,0.000,0.000,0.002,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000
2015,1,CO,56146,Black Hills/Colorado Elec.Util,Final,3.554,5.911,0.100,0.000,9.565,601,183,1,0,785,.,.,.,.,0.000,.,.,1.800,.,1.800,.,.,1,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,3.554,5.911,1.900,0.000,11.365,601,183,2,0,786,0.000,0.000,0.000,0.000,0.000
2015,1,CO,99999,State Adjustment,Final,12.684,2.319,0.455,.,15.458,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.684,2.319,0.455,.,15.458,.,.,.,.,.,.,.,.,.,.
2015,1,CT,4176,Connecticut Light & Power Co,Final,43.896,45.176,4.545,0.000,93.617,"6,584",609,14,0,"7,207",0.000,0.000,0.000,0.000,0.000,0.092,0.035,0.000,0.000,0.127,19,6,0,0,25,0.000,0.000,0.000,0.000,0.000,0.102,13.324,3.600,0.000,17.026,12,31,6,0,49,0.000,0.000,0.000,0.000,0.000,44.090,58.535,8.145,0.000,110.770,"6,615",646,20,0,"7,281",0.000,0.000,0.000,0.000,0.000
2015,1,CT,7716,Groton Dept of Utilities - (CT),Final,0.009,.,.,.,0.009,2,.,.,.,2,0.092,.,.,.,0.092,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.009,0.000,0.000,0.000,0.009,2,0,0,0,2,0.092,0.000,0.000,0.000,0.092
2015,1,CT,19497,United Illuminating Co,Final,6.386,8.454,1.412,0.000,16.252,"1,052",86,11,0,"1,149",158.938,77.375,19.140,0.000,255.453,0.000,0.000,0.100,0.000,0.100,0,0,1,0,1,0.000,0.000,4.480,0.000,4.480,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,6.386,8.454,1.512,0.000,16.352,"1,052",86,12,0,"1,150",158.938,77.375,23.620,0.000,259.933
2015,1,CT,20038,Town of Wallingford - (CT),Final,0.010,0.263,0.000,0.000,0.273,3,2,0,0,5,0.338,12.347,0.000,0.000,12.685,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.010,0.263,0.000,0.000,0.273,3,2,0,0,5,0.338,12.347,0.000,0.000,12.685
2015,1,CT,99999,State Adjustment,Final,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.
2015,1,DC,15270,Potomac Electric Power Co,Final,5.954,4.141,.,.,10.095,"1,425",97,.,.,"1,522",.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,5.954,4.141,0.000,0.000,10.095,"1,425",97,0,0,"1,522",0.000,0.000,0.000,0.000,0.000
2015,1,DC,99999,State Adjustment,Final,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.
2015,1,DE,5027,Delmarva Power,Final,10.203,10.117,2.505,.,22.825,"1,563",190,8,.,"1,761",.,.,.,.,0.000,0.033,0.102,.,.,0.135,9,6,.,.,15,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,10.236,10.219,2.505,0.000,22.960,"1,572",196,8,0,"1,776",0.000,0.000,0.000,0.000,0.000
2015,1,DE,5070,Delaware Electric Cooperative,Final,1.985,1.720,.,.,3.705,340,28,.,.,368,.,.,.,.,0.000,0.029,0.005,.,.,0.034,12,1,.,.,13,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.014,1.725,0.000,0.000,3.739,352,29,0,0,381,0.000,0.000,0.000,0.000,0.000
2015,1,DE,5335,City of Dover - (DE),Final,0.176,0.832,0.000,0.000,1.008,27,20,0,0,47,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.176,0.832,0.000,0.000,1.008,27,20,0,0,47,0.000,0.000,0.000,0.000,0.000
2015,1,DE,13519,City of Newark - (DE),Final,0.046,.,0.073,.,0.119,45,.,6,.,51,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.046,0.000,0.073,0.000,0.119,45,0,6,0,51,0.000,0.000,0.000,0.000,0.000
2015,1,DE,99999,State Adjustment,Final,0.025,0.460,.,.,0.485,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.025,0.460,.,.,0.485,.,.,.,.,.,.,.,.,.,.
2015,1,FL,6452,Florida Power & Light Co,Final,13.677,16.040,.,.,29.717,"2,552",703,.,.,"3,255",0.000,0.071,.,.,0.071,0.013,0.049,.,.,0.062,5,7,.,.,12,0.000,0.000,.,.,0.000,0.000,3.950,.,.,3.950,0,3,.,.,3,0.000,0.000,.,.,0.000,13.690,20.039,0.000,0.000,33.729,"2,557",713,0,0,"3,270",0.000,0.071,0.000,0.000,0.071
2015,1,FL,6455,"Duke Energy Florida, Inc",Final,9.593,7.869,1.151,0.000,18.613,"1,845",290,6,0,"2,141",446.298,192.115,11.586,0.000,649.999,0.002,0.001,0.000,0.000,0.003,2,1,0,0,3,0.015,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,9.595,7.870,1.151,0.000,18.616,"1,847",291,6,0,"2,144",446.313,192.115,11.586,0.000,650.014
2015,1,FL,6457,Florida Public Utilities Co,Final,0.296,0.000,0.000,0.000,0.296,62,0,0,0,62,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.296,0.000,0.000,0.000,0.296,62,0,0,0,62,0.000,0.000,0.000,0.000,0.000
2015,1,FL,7801,Gulf Power Co,Final,1.334,0.210,0.000,0.000,1.544,268,100,0,0,368,58.880,6.834,0.000,0.000,65.714,0.005,0.012,0.000,0.000,0.017,2,5,0,0,7,0.002,0.216,0.000,0.000,0.218,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.339,0.222,0.000,0.000,1.561,270,105,0,0,375,58.882,7.050,0.000,0.000,65.932
2015,1,FL,9617,JEA,Final,1.427,0.382,0.000,0.000,1.809,239,27,0,0,266,44.685,7.678,0.000,0.000,52.363,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.427,0.382,0.000,0.000,1.809,239,27,0,0,266,44.685,7.678,0.000,0.000,52.363
